IDs,final_classification,genebank_id,accession_id,start,stop,gene_description,socus,sig_seq,is_family,group,origin,bits_score,e_value,final_call
gene:plasmid:139285,plasmid,3978320,NC_007930.1,86486,87091,response regulator transcription factor,LSL_RS09945,ISKpn66,ISL3,,Klebsiella pneumoniae,32.2,1,plasmid
gene:plasmid:139286,plasmid,3978321,NC_007930.1,87094,88203,sensor histidine kinase,LSL_RS09950,IS5Sa,IS5,IS1031,Synechocystis sp.,36.2,0.12,plasmid
gene:plasmid:139287,plasmid,3978322,NC_007930.1,88203,88952,ABC transporter permease,LSL_RS09955,ISCst1,ISLre2,,Cylindrospermum stagnale,34.2,0.33,plasmid
gene:plasmid:139288,plasmid,3978323,NC_007930.1,224413,225900,glutamate/gamma-aminobutyrate family transporter YjeM,LSL_RS10675,ISPlge3,IS3,IS150,Pluralibacter gergoviae,36.2,0.17,plasmid
gene:plasmid:139289,plasmid,3978324,NC_007930.1,225955,226062,putative metal homeostasis protein,LSL_RS10680,ISSpps1,IS1595,ISPna2,Sporosarcina psychrophila,30.2,0.65,plasmid
gene:plasmid:139290,plasmid,3978325,NC_007930.1,226082,226351,30S ribosomal protein S14,LSL_RS10685,TnXax1,Tn3,,Xanthomonas axonopodis,34.2,0.11,plasmid
gene:plasmid:139291,plasmid,3978326,NC_007930.1,226539,228473,TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein,LSL_RS10690,ISMba8,IS701,,Methanosarcina barkeri,38.2,0.055,plasmid
gene:plasmid:139292,plasmid,3978327,NC_007930.1,228630,230621,transketolase,LSL_RS10695,ISNg1,IS3,IS150,Neisseria gonorrhoeae,34.2,0.89,plasmid
gene:plasmid:139293,plasmid,3978328,NC_007930.1,230639,231292,fructose-6-phosphate aldolase,LSL_RS10700,ISBsp6,IS1595,ISPna2,Bacillus sp.,34.2,0.29,plasmid
gene:plasmid:139294,plasmid,3978329,NC_007930.1,231729,232376,ribulose-phosphate 3-epimerase,LSL_RS10705,ISFnu7,IS1182,,Fusobacterium nucleatum,34.2,0.28,plasmid
gene:plasmid:139301,plasmid,3978336,NC_007930.1,237096,239462,phosphoketolase family protein,LSL_RS10740,ISMae17,IS607,,Microcystis aeruginosa,38.2,0.068,plasmid
gene:plasmid:139302,plasmid,3978337,NC_007930.1,239743,240645,IS3 family transposase,LSL_RS10745,ISBce15,IS3,IS150,Bacillus cereus,48.1,3.00E-05,plasmid
gene:plasmid:139303,plasmid,3978338,NC_007930.1,240642,241160,transposase,LSL_RS10750,ISGlo1,IS3,IS3,Geobacter lovleyi,46.1,6.00E-05,plasmid
gene:plasmid:139304,plasmid,3978339,NC_007930.1,241214,241618,hypothetical protein,LSL_RS10755,MICBce5,IS4,IS231,Bacillus cereus,36.2,0.044,plasmid
gene:plasmid:139305,plasmid,3978340,NC_007930.1,132848,133207,hypothetical protein,LSL_RS10145,ISFw2,IS5,,Francisella sp.,30.2,2.4,plasmid
gene:plasmid:139306,plasmid,3978341,NC_007930.1,133230,134711,LPXTG cell wall anchor domain-containing protein,LSL_RS10150,ISMyo2,IS21,,Mycobacterium yongonense,38.2,0.042,plasmid
gene:plasmid:139307,plasmid,3978342,NC_007930.1,134986,135357,helix-turn-helix transcriptional regulator,LSL_RS10155,ISMha7,ISL3,,Mannheimia haemolytica,34.2,0.16,plasmid
gene:plasmid:139308,plasmid,3978343,NC_007930.1,136214,136354,hypothetical protein,LSL_RS10165,ISLbi1,ISNCY,ISLbi1,Leptospira biflexa,30.2,0.88,plasmid
gene:plasmid:139313,plasmid,3978348,NC_007930.1,138212,140246,,LSL_RS10185,ISTps2,IS1380,,Thermoanaerobacter pseudethanolicus,40.1,0.015,plasmid
gene:plasmid:139314,plasmid,3978349,NC_007930.1,140262,140684,hypothetical protein,LSL_RS10190,ISDph1,ISNCY,ISDol1,Desulfotignum phosphitoxidans,32.2,0.72,plasmid
gene:plasmid:139315,plasmid,3978350,NC_007930.1,140681,141163,hypothetical protein,LSL_RS10195,ISDge15,IS6,,Deinococcus geothermalis,34.2,0.21,plasmid
gene:plasmid:138733,plasmid,3196586,NC_006569.1,53555,56413,glycine dehydrogenase,SPOA0059,ISAtu2,IS5,IS5,Agrobacterium tumefaciens,40.1,0.021,plasmid
gene:plasmid:138875,plasmid,3196728,NC_006569.1,147301,147375,tRNA,SPOA_tRNA-Thr-1,ISHla9,ISH3,,Halorubrum lacusprofundi,28.2,1.7,plasmid
gene:plasmid:138877,plasmid,3196730,NC_006569.1,26245,27453,Na(+)-translocating NADH-quinone reductase subunit B,SPOA0029,ISNamo8,IS6,,Natronomonas moolapensis,34.2,0.53,plasmid
gene:plasmid:138607,plasmid,3523502,NC_007209.1,684,857,p57,pWBG738_02,IS1000B,IS110,,Thermus thermophilus,30.2,1.1,plasmid
gene:plasmid:136719,plasmid,4397513,NC_008488.1,788,979,RNAI modulator protein,pMG8283_01,ISGdi17,IS21,,Gluconacetobacter diazotrophicus,34.2,0.08,plasmid
gene:plasmid:136720,plasmid,4397514,NC_008488.1,1044,1367,hypothetical protein,pMG8283_02,ISGba3,IS1202,ISTde1,Gemmatimonadales bacterium,32.2,0.55,plasmid
gene:plasmid:136721,plasmid,4397515,NC_008488.1,1357,2922,hypothetical protein,pMG8283_03,ISPansp2,IS1202,ISAba32,Pantoea sp.,32.2,2.7,plasmid
gene:plasmid:136724,plasmid,4397518,NC_008488.1,3868,4065,lytic protein,pMG8283_06,ISA0963-7,IS481,,Archaeoglobus fulgidus,32.2,0.32,plasmid
gene:plasmid:136725,plasmid,4397519,NC_008488.1,4083,4367,Cja,pMG8283_07,ISSmu1,IS3,IS150,Streptococcus mutans,32.2,0.48,plasmid
gene:plasmid:136726,plasmid,4397520,NC_008488.1,4431,4820,immunity protein,pMG8283_08,ISCsa4,IS110,,Caldicellulosiruptor saccharolyticus,34.2,0.17,plasmid
gene:plasmid:136764,plasmid,3400077,NC_007106.1,1612,2274,replication protein,pE33L80001,ISHahy4,IS3,IS407,Halanaerobium hydrogeniformans,40.1,0.005,plasmid
gene:plasmid:136771,UNCLASSIFIED,3400084,NC_000000.0,0,0,,Manual,,,,,,,UNCLASSIFIED
gene:plasmid:138170,plasmid,3711802,NC_007488.2,6756,7814,ABC transporter ATP-binding protein,RSP_RS19845,ISBra1,IS1182,,Bradyrhizobium retamae,40.1,0.008,plasmid
gene:plasmid:136798,plasmid,3776213,NC_007594.1,30107,30337,hypothetical protein,pHTbeta_31,IS1221C,IS3,IS150,Mycoplasma hyorhinis,36.2,0.024,plasmid
gene:plasmid:136799,plasmid,3776214,NC_007594.1,30688,30984,hypothetical protein,pHTbeta_32,ISMbov3,IS1634,,Mycoplasma bovis,36.2,0.032,plasmid
gene:plasmid:136800,plasmid,3776215,NC_007594.1,30981,31448,hypothetical protein,pHTbeta_33,IS8402,IS4,IS10,Synechocystis sp.,36.2,0.051,plasmid
gene:plasmid:136801,plasmid,3776216,NC_007594.1,31531,33051,putative relaxase/nickase,pHTbeta_34,ISSpn9,IS30,,Streptococcus pneumoniae,36.2,0.17,plasmid
gene:plasmid:136802,plasmid,3776217,NC_007594.1,33073,33402,hypothetical protein,pHTbeta_35,ISTet1,ISLre2,,Thermoanaerobacter ethanolicus,32.2,0.56,plasmid
gene:plasmid:136803,plasmid,3776218,NC_007594.1,33404,33667,hypothetical protein,pHTbeta_36,ISHti4,IS4,IS50,Halorhabdus tiamatea,32.2,0.44,plasmid
gene:plasmid:136804,plasmid,3776219,NC_007594.1,33889,34755,hypothetical protein,pHTbeta_37,ISOni2,ISKra4,ISMich2,Oscillatoria nigro-viridis,36.2,0.096,plasmid
gene:plasmid:136805,plasmid,3776220,NC_007594.1,34910,36736,hypothetical protein,pHTbeta_38,ISPrre10,IS91,,Providencia rettgeri,36.2,0.21,plasmid
gene:plasmid:136806,plasmid,3776221,NC_007594.1,36798,37814,hypothetical protein,pHTbeta_39,ISDar2,IS4,IS4Sa,Dechloromonas aromatica,36.2,0.11,plasmid
gene:plasmid:136807,plasmid,3776222,NC_007594.1,37823,38080,hypothetical protein,pHTbeta_40,ISS1M,IS6,,Lactococcus lactis,34.2,0.11,plasmid
gene:plasmid:136809,plasmid,3776224,NC_007594.1,38436,39440,hypothetical protein,pHTbeta_42,IS1138B,IS3,IS150,Mycoplasma pulmonis,36.2,0.11,plasmid
gene:plasmid:136810,plasmid,3776225,NC_007594.1,39531,39821,hypothetical protein,pHTbeta_43,ISEfa9,IS3,IS3,Enterococcus faecium,36.2,0.031,plasmid
gene:plasmid:136811,plasmid,3776226,NC_007594.1,39983,40174,hypothetical protein,pHTbeta_44,ISChpi1,IS1595,,Chryseobacterium piperi,30.2,1.2,plasmid
gene:plasmid:136812,plasmid,3776227,NC_007594.1,40283,40501,hypothetical protein,pHTbeta_45,ISMae22,IS630,,Microcystis aeruginosa,30.2,1.4,plasmid
gene:plasmid:136813,plasmid,3776228,NC_007594.1,40538,40855,hypothetical protein,pHTbeta_46,ISUnCu10,IS5,IS5,Uncultured marine,36.2,0.034,plasmid
gene:plasmid:136814,plasmid,3776229,NC_007594.1,5424,5867,hypothetical protein,pHTbeta_08,ISSta1,IS1202,IS1202,Spiroplasma tabanidicola,32.2,0.76,plasmid
gene:plasmid:136815,plasmid,3776230,NC_007594.1,6013,6336,hypothetical protein,pHTbeta_09,ISMco4,IS256,,Methanosaeta concilii,32.2,0.55,plasmid
gene:plasmid:136816,plasmid,3776231,NC_007594.1,6754,10383,hypothetical protein,pHTbeta_10,ISEca11,IS3,IS407,Erwinia carotovora,40.1,0.026,plasmid
gene:plasmid:136817,plasmid,3776232,NC_007594.1,10443,10805,hypothetical protein,pHTbeta_11,IS1221G,IS3,IS150,Mycoplasma hyorhinis,34.2,0.16,plasmid
gene:plasmid:136818,plasmid,3776233,NC_007594.1,10819,10971,hypothetical protein,pHTbeta_12,ISSag8,IS1182,,Streptococcus agalactiae,32.2,0.24,plasmid
gene:plasmid:136819,plasmid,3776234,NC_007594.1,11078,11461,hypothetical protein,pHTbeta_13,ISCfe1,IS607,,Campylobacter fetus,34.2,0.17,plasmid
gene:plasmid:136820,plasmid,3776235,NC_007594.1,11473,12888,hypothetical protein,pHTbeta_14,ISvMimi_2,IS607,,Mimivirus,36.2,0.16,plasmid
gene:plasmid:136821,plasmid,3776236,NC_007594.1,12926,13720,hypothetical protein,pHTbeta_15,ISAcve1,IS1595,IS1016,Acinetobacter venetianus,36.2,0.088,plasmid
gene:plasmid:136822,plasmid,3776237,NC_007594.1,13720,14517,hypothetical protein,pHTbeta_16,ISFco1,IS1202,ISTde1,Faecalicatena contorta,36.2,0.089,plasmid
gene:plasmid:136823,plasmid,3776238,NC_007594.1,14535,14897,hypothetical protein,pHTbeta_17,ISHhu13,IS200/IS605,IS1341,Halobacterium hubeiense,30.2,2.4,plasmid
gene:plasmid:136824,plasmid,3776239,NC_007594.1,14911,15057,hypothetical protein,pHTbeta_18,IS231K,IS4,IS231,Bacillus cereus,32.2,0.23,plasmid
gene:plasmid:136825,plasmid,3776240,NC_007594.1,15309,15584,hypothetical protein,pHTbeta_19,ISCp1,IS256,,Clostridium perfringens,36.2,0.03,plasmid
gene:plasmid:136826,plasmid,3776241,NC_007594.1,15693,17519,hypothetical protein,pHTbeta_20,ISMae10,IS1634,,Microcystis aeruginosa,38.2,0.052,plasmid
gene:plasmid:136827,plasmid,3776242,NC_007594.1,17532,18248,hypothetical protein,pHTbeta_21,ISAba27,IS5,ISL2,Acinetobacter baumannii,34.2,0.31,plasmid
gene:plasmid:136828,plasmid,3776243,NC_007594.1,18261,21119,hypothetical protein,pHTbeta_22,ISLmo21,IS3,IS3,Listeria monocytogenes,34.2,1.3,plasmid
gene:plasmid:136829,plasmid,3776244,NC_007594.1,21170,23911,hypothetical protein,pHTbeta_23,ISCbo10,IS607,,Clostridium botulinum,36.2,0.31,plasmid
gene:plasmid:136830,plasmid,3776245,NC_007594.1,23959,24270,hypothetical protein,pHTbeta_24,ISCul1,IS1202,IS1202,Clostridium ultunense,32.2,0.52,plasmid
gene:plasmid:136831,plasmid,3776246,NC_007594.1,24267,24884,hypothetical protein,pHTbeta_25,ISCba1,IS1595,ISPna2,Clostridium bartlettii,34.2,0.27,plasmid
gene:plasmid:136832,plasmid,3776247,NC_007594.1,24901,25368,hypothetical protein,pHTbeta_26,ISMsy1,IS1634,,Mycoplasma synoviae,36.2,0.051,plasmid
gene:plasmid:136833,plasmid,3776248,NC_007594.1,40866,41063,hypothetical protein,pHTbeta_47,ISCbt1,IS200/IS605,IS605,Clostridium botulinum,36.2,0.021,plasmid
gene:plasmid:136834,plasmid,3776249,NC_007594.1,41060,42028,hypothetical protein,pHTbeta_48,ISTvo3,IS481,,Thermoplasma volcanium,36.2,0.11,plasmid
gene:plasmid:136835,plasmid,3776250,NC_007594.1,42254,43441,hypothetical protein,pHTbeta_49,ISNiba1,IS1202,ISTde1,Nitrospirae bacterium,32.2,2.1,plasmid
gene:plasmid:136837,plasmid,3776252,NC_007594.1,44497,44904,hypothetical protein,pHTbeta_51,ISHce1,IS1595,ISPna2,Helicobacter cetorum,38.2,0.011,plasmid
gene:plasmid:136838,plasmid,3776253,NC_007594.1,45056,45667,hypothetical protein,pHTbeta_52,ISPst9,ISL3,,Pseudomonas stutzeri,36.2,0.068,plasmid
gene:plasmid:136840,plasmid,3776255,NC_007594.1,46386,46694,hypothetical protein,pHTbeta_54,ISCca7,IS5,IS5,Cardinium endosymbiont,32.2,0.52,plasmid
gene:plasmid:136841,plasmid,3776256,NC_007594.1,46706,47023,hypothetical protein,pHTbeta_55,MITEBth3,Tn3,,Bacillus thuringiensis,34.2,0.14,plasmid
gene:plasmid:136842,plasmid,3776257,NC_007594.1,47190,47753,hypothetical protein,pHTbeta_56,ISAba14,IS3,IS150,Acinetobacter baumannii,36.2,0.062,plasmid
gene:plasmid:136843,plasmid,3776258,NC_007594.1,49121,49375,hypothetical protein,pHTbeta_58,ISCni2,ISNCY,ISFsi2,Calditerrivibrio nitroreducens,32.2,0.42,plasmid
gene:plasmid:136844,plasmid,3776259,NC_007594.1,51607,51906,hypothetical protein,pHTbeta_60,ISVesp1,IS256,IS1249,Veillonella sp.,32.2,0.5,plasmid
gene:plasmid:136845,UNCLASSIFIED,3776260,NC_000000.0,0,0,,Manual,,,,,,,UNCLASSIFIED
gene:plasmid:136848,plasmid,3776263,NC_007594.1,47764,48624,hypothetical protein,pHTbeta_57,ISLiv3,IS21,,Listeria ivanovii,32.2,1.5,plasmid
gene:plasmid:136849,plasmid,3776264,NC_007594.1,2263,2862,hypothetical protein,pHTbeta_02,IS861,IS3,IS150,Streptococcus agalactiae,32.2,1,plasmid
gene:plasmid:136850,plasmid,3776265,NC_007594.1,2983,3198,hypothetical protein,pHTbeta_03,ISEfa15,IS21,,Enterococcus faecium,38.2,0.006,plasmid
gene:plasmid:136851,plasmid,3776266,NC_007594.1,3514,3720,hypothetical protein,pHTbeta_04,ISVa15,IS630,,Vibrio anguillarum,32.2,0.34,plasmid
gene:plasmid:136852,plasmid,3776267,NC_007594.1,3800,4654,hypothetical protein,pHTbeta_05,ISVat2,IS256,IS1249,Veillonella atypica,36.2,0.095,plasmid
gene:plasmid:136853,plasmid,3776268,NC_007594.1,4667,5104,hypothetical protein,pHTbeta_06,ISAjo1,IS5,IS903,Acinetobacter johnsonii,32.2,0.75,plasmid
gene:plasmid:136854,plasmid,3776269,NC_007594.1,5122,5421,hypothetical protein,pHTbeta_07,ISMpr2,ISKra4,ISKra4,Moorea producens,34.2,0.13,plasmid
gene:plasmid:136855,plasmid,3776270,NC_007594.1,25384,27339,hypothetical protein,pHTbeta_27,ISAjo4,IS66,,Acinetobacter johnosonii,38.2,0.056,plasmid
gene:plasmid:136856,plasmid,3776271,NC_007594.1,27361,28497,hypothetical protein,pHTbeta_28,TnBth3,Tn3,,Bacillus thuringiensis,34.2,0.5,plasmid
gene:plasmid:136857,plasmid,3776272,NC_007594.1,28511,29161,hypothetical protein,pHTbeta_29,ISSpps1,IS1595,ISPna2,Sporosarcina psychrophila,38.2,0.018,plasmid
gene:plasmid:136858,plasmid,3776273,NC_007594.1,29175,30071,hypothetical protein,pHTbeta_30,ISClsp5,IS1595,ISPna2,Clostridium sp.,32.2,1.6,plasmid
gene:plasmid:135994,plasmid,2767370,NC_005814.1,21240,21599,hypothetical protein,YP_pCRY30,ISMsi3,IS3,IS407,Methylocella silvestris,34.2,0.15,plasmid
gene:plasmid:135995,plasmid,2767371,NC_005814.1,19097,19744,ATPase involved in chromosome partitioning,YP_pCRY27,IS231L,IS4,IS231,Bacillus anthracis,32.2,1.1,plasmid
gene:plasmid:135996,plasmid,2767372,NC_005814.1,4297,4602,type IV secretory pathway VirB2 component,YP_pCRY08,ISSphsp19,IS256,,Sphingobium sp.,34.2,0.13,plasmid
gene:plasmid:135998,plasmid,2767374,NC_005814.1,17106,17873,putative mobilization protein mobC,YP_pCRY23,ISGdi7,IS110,IS1111,Gluconacetobacter diazotrophicus,34.2,0.34,plasmid
gene:plasmid:135999,plasmid,2767375,NC_005814.1,738,1451,putative RepA protein,YP_pCRY01,ISAar41,IS110,,Arthrobacter arilaitensis,36.2,0.079,plasmid
gene:plasmid:136000,plasmid,2767376,NC_005814.1,19865,20725,zinc metalloproteinase Mpr protein,YP_pCRY28,ISMdi15,IS200/IS605,IS1341,Methylobacterium extorquens,32.2,1.5,plasmid
gene:plasmid:136001,plasmid,2767377,NC_005814.1,21025,21306,transcriptional regulator,YP_pCRY29,ISHma16,IS200/IS605,IS1341,Haloarcula marismortui,32.2,0.47,plasmid
gene:plasmid:136002,plasmid,2767378,NC_005814.1,2980,3249,hypothetical protein,YP_pCRY05,ISPsp2,ISL3,,Pseudomonas sp.,34.2,0.11,plasmid
gene:plasmid:136003,plasmid,2767379,NC_005814.1,2507,2962,transcription antiterminator,YP_pCRY04,ISAtsp1,IS630,,Arthrospira sp.,32.2,0.78,plasmid
gene:plasmid:136004,plasmid,2767380,NC_005814.1,18823,19056,hypothetical protein,YP_pCRY26,ISHahy15,IS1182,,Halanaerobium hydrogeniformans,30.2,1.5,plasmid
gene:plasmid:136005,plasmid,2767381,NC_005814.1,8327,9400,type IV secretory pathway VirB6 component,YP_pCRY12,ISBli6,IS110,,Brevibacterium linens,34.2,0.47,plasmid
gene:plasmid:136009,plasmid,2767385,NC_005814.1,1522,1773,hypothetical protein,YP_pCRY02,ISCbo4,IS256,,Clostridium botulinum,34.2,0.11,plasmid
gene:plasmid:136010,plasmid,2767386,NC_005814.1,1900,2256,putative transcriptional regulator,YP_pCRY03,ISFesp2,IS5,IS903,Ferroplasma sp.,32.2,0.6,plasmid
gene:plasmid:136011,plasmid,2767387,NC_005814.1,13515,13913,hypothetical protein,YP_pCRY17,ISRor9,IS200/IS605,IS605,Raoultella ornithinolytica,30.2,2.7,plasmid
gene:plasmid:136014,plasmid,2767390,NC_005814.1,15026,15370,hypothetical protein,YP_pCRY21,ISAli10,IS66,,Azospirillum lipoferum,32.2,0.58,plasmid
gene:plasmid:136015,plasmid,2767391,NC_005814.1,15358,17109,putative mobilization mobB protein,YP_pCRY22,ISStrsp1,IS3,IS150,Streptococcus sp.,34.2,0.78,plasmid
gene:plasmid:136016,plasmid,2767392,NC_005814.1,8089,8316,hypothetical protein,YP_pCRY11,ISCsa8,IS1634,,Caldicellulosiruptor saccharolyticus,34.2,0.095,plasmid
gene:plasmid:136017,plasmid,2767393,NC_005814.1,17910,18383,micrococcal nuclease-like protein,YP_pCRY24,ISSen13,IS1202,ISAba32,Salmonella enterica,32.2,0.81,plasmid
gene:plasmid:136018,plasmid,2767394,NC_005814.1,18444,18785,putative membrane prtotein,YP_pCRY25,ISAlw23,IS3,IS51,Acinetobacter lwoffii,32.2,0.58,plasmid
gene:plasmid:136019,plasmid,2767395,NC_005814.1,3254,3472,putative ATP/GTP-binding protein remnant,YP_pCRY06,ISHaru1,IS200/IS605,IS1341,Halobellus rufus,32.2,0.36,plasmid
gene:plasmid:136020,plasmid,2767396,NC_005814.1,3590,4300,type IV secretory pathway VirB1 component,YP_pCRY07,ISMtsp6,IS110,IS1111,Methylobacterium sp.,32.2,1.2,plasmid
gene:plasmid:138513,plasmid,3200466,NC_006578.1,41577,42023,acetyltransferase,pBT9727_0044,ISCARN98,IS1380,,Metagenomic data,34.2,0.19,plasmid
gene:plasmid:138538,likely IS/TE,3200491,NC_006578.1,36560,36871,hypothetical protein,pBT9727_0039,ISBth5,IS4,IS231,Bacillus thuringiensis,618,1.00E-177,likely IS/TE
gene:plasmid:136126,plasmid,4549231,NC_008612.1,24496,24828,hypothetical protein,P99018ORF_038,ISArsp10,IS1380,,Arthrobacter sp.,34.2,0.14,plasmid
gene:plasmid:136136,plasmid,4549241,NC_008612.1,31857,32018,hypothetical protein,P99018ORF_048,IS1549,IS1634,,Mycobacterium smegmatis,30.2,1,plasmid
gene:plasmid:136142,plasmid,4549247,NC_008612.1,127731,128708,peptidase,P99018ORF_151,ISHahy10,IS30,,Halanaerobium hydrogeniformans,38.2,0.028,plasmid
gene:plasmid:136145,plasmid,4549250,NC_008612.1,130103,130462,hypothetical protein,P99018ORF_154,ISAzs6,IS701,,Azospirillum sp.,32.2,0.61,plasmid
gene:plasmid:136146,plasmid,4549251,NC_008612.1,130462,130908,hypothetical protein,P99018ORF_155,ISAbe14,ISL3,,Acinetobacter bereziniae,32.2,0.76,plasmid
gene:plasmid:136150,plasmid,4549255,NC_008612.1,132523,132711,hypothetical protein,P99018ORF_159,ISRso22,IS1595,ISPna2,Ralstonia solanacearum,30.2,1.2,plasmid
gene:plasmid:136157,plasmid,4549262,NC_008612.1,106275,107315,sex pilus assembly,P99018ORF_127,ISSma20,IS91,,Serratia marcescens,34.2,0.46,plasmid
gene:plasmid:136158,plasmid,4549263,NC_008612.1,107317,108750,putative pilus assembly protein,P99018ORF_128,ISRssp2,IS1595,ISNha5,Roseovarius sp.,36.2,0.16,plasmid
gene:plasmid:136159,plasmid,4549264,NC_008612.1,108763,112377,putative pilus assembly protein,P99018ORF_129,ISCef8,IS5,IS427,Corynebacterium efficiens,40.1,0.026,plasmid
gene:plasmid:136160,plasmid,4549265,NC_008612.1,112415,112777,hypothetical protein,P99018ORF_130,ISPpa3,IS5,IS903,Paracoccus pantotrophus,36.2,0.039,plasmid
gene:plasmid:136161,plasmid,4549266,NC_008612.1,113493,113765,Ner-like protein,P99018ORF_131,ISPsy36,IS1182,,Pseudomonas syringae,32.2,0.46,plasmid
gene:plasmid:136164,plasmid,4549269,NC_008612.1,114914,115465,putative regulator protein,P99018ORF_134,ISAba58,IS256,,Acinetobacter baumannii,34.2,0.24,plasmid
gene:plasmid:136166,plasmid,4549271,NC_008612.1,115946,116239,hypothetical protein,P99018ORF_136,ISCaje5,IS1595,ISPna2,Campylobacter jejuni,32.2,0.49,plasmid
gene:plasmid:136168,plasmid,4549273,NC_008612.1,117738,118277,hypothetical protein,P99018ORF_138,IS1016V3,IS1595,IS1016,Haemophilus influenzae,36.2,0.06,plasmid
gene:plasmid:136169,plasmid,4549274,NC_008612.1,118282,118569,hypothetical protein,P99018ORF_139,ISAur1,IS1595,ISPna2,Actinobacillus ureae,34.2,0.12,plasmid
gene:plasmid:136170,plasmid,4549275,NC_008612.1,118554,119654,reprication protein,P99018ORF_140,ISArsp6,Tn3,,Arthrobacter sp.,36.2,0.12,plasmid
gene:plasmid:136171,plasmid,4549276,NC_008612.1,120691,121125,hypothetical protein,P99018ORF_141,ISArch16,ISAzo13,,Uncultured archaeon,32.2,0.74,plasmid
gene:plasmid:136172,plasmid,4549277,NC_008612.1,121143,122258,phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase,P99018ORF_142,ISMsm10,IS1380,,Mycobacterium smegmatis,34.2,0.49,plasmid
gene:plasmid:136173,plasmid,4549278,NC_008612.1,122674,123135,hypothetical protein,P99018ORF_143,ISBli27,ISAs1,,Brevibacterium linens,34.2,0.2,plasmid
gene:plasmid:136174,plasmid,4549279,NC_008612.1,123140,123661,hypothetical protein,P99018ORF_144,ISHaha5,IS110,,Halobacillus halophilus,32.2,0.9,plasmid
gene:plasmid:136175,plasmid,4549280,NC_008612.1,123664,124185,hypothetical protein,P99018ORF_145,ISEcret5,IS630,,Endozoicomonas endosymbiont,32.2,0.9,plasmid
gene:plasmid:136188,plasmid,4549293,NC_008612.1,99041,99577,hypothetical protein,P99018ORF_119,ISKpn66,ISL3,,Klebsiella pneumoniae,30.2,3.7,plasmid
gene:plasmid:136190,plasmid,4549295,NC_008612.1,100595,101464,"exonuclease, Ycg4D",P99018ORF_121,ISSpu12,IS4,IS50,Shewanella putrefaciens,40.1,0.006,plasmid
gene:plasmid:136192,plasmid,4549297,NC_008612.1,102279,103154,DNA replication terminus site-binding protein,P99018ORF_123,ISPye14,IS66,,Paracoccus yeei,32.2,1.5,plasmid
gene:plasmid:136195,plasmid,4549300,NC_008612.1,104653,106164,putative DNA helicase,P99018ORF_126,ISPsy43,IS66,,Pseudomonas syringae,34.2,0.67,plasmid
gene:plasmid:136204,plasmid,4549391,NC_008612.1,62045,62686,hypothetical protein,P99018ORF_074,ISPsy35,IS110,,Pseudomonas syringae,34.2,0.28,plasmid
gene:plasmid:136205,plasmid,4549392,NC_008612.1,62980,63300,hypothetical protein,P99018ORF_075,ISSma10,IS256,,Serratia marcescens,32.2,0.54,plasmid
gene:plasmid:136206,plasmid,4549393,NC_008612.1,63538,63789,hypothetical protein,P99018ORF_076,ISArsp6,Tn3,,Arthrobacter sp.,34.2,0.11,plasmid
gene:plasmid:136208,plasmid,4549395,NC_008612.1,64988,65896,hypothetical protein,P99018ORF_078,ISFba4,IS1595,ISSod11,Flavobacteria bacterium,32.2,1.6,plasmid
gene:plasmid:136210,plasmid,4549397,NC_008612.1,66540,67571,DNA recombination protein,P99018ORF_080,ISAzo13,ISAzo13,,Azoarcus sp.,34.2,0.46,plasmid
gene:plasmid:136216,plasmid,4549403,NC_008612.1,73294,73794,hypothetical protein,P99018ORF_086,ISPsy37,IS3,IS3,Pseudomonas syringae,34.2,0.22,plasmid
gene:plasmid:136232,plasmid,4549419,NC_008612.1,44935,45318,hypothetical protein,P99018ORF_063,ISMasp7,IS1380,,Magnetococcus sp.,32.2,0.65,plasmid
gene:plasmid:136240,plasmid,4549427,NC_008612.1,75916,76215,hypothetical protein,P99018ORF_091,ISMahy3,IS1182,,Marinobacter hydrocarbonoclasticus,34.2,0.13,plasmid
gene:plasmid:136242,plasmid,4549429,NC_008612.1,76533,76886,hypothetical protein,P99018ORF_093,ISMysp7,IS256,,Mycobacterium sp.,32.2,0.6,plasmid
gene:plasmid:136244,plasmid,4549431,NC_008612.1,77500,77802,hypothetical protein,P99018ORF_095,ISMno26,IS110,IS1111,Methylobacterium nodulans,34.2,0.13,plasmid
gene:plasmid:136246,plasmid,4549433,NC_008612.1,79566,79997,hypothetical protein,P99018ORF_097,ISAlw14,IS5,ISL2,Acinetobacter lwoffii,30.2,2.9,plasmid
gene:plasmid:136251,plasmid,4549438,NC_008612.1,84262,84867,YbaA,P99018ORF_102,ISSm3,IS110,,Serratia marcescens,34.2,0.26,plasmid
gene:plasmid:136252,plasmid,4549439,NC_008612.1,84860,85129,hypothetical protein,P99018ORF_103,ISKpn64,IS21,,Klebsiella pneumoniae,32.2,0.45,plasmid
gene:plasmid:136253,plasmid,4549440,NC_008612.1,85143,85361,hypothetical protein,P99018ORF_104,ISVei2,IS481,,Verminephrobacter eiseniae,32.2,0.36,plasmid
gene:plasmid:136258,plasmid,4549445,NC_008612.1,136262,136741,hypothetical protein,P99018ORF_168,ISCfr13,IS110,,Citrobacter freundii,30.2,3.3,plasmid
